#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
data/genomes/EAEC_042.fasta	NC_017626.1	25469	26890	-	espX1	1-1422/1422	===============	0/0	100.00	98.31	vfdb	WP_000129338	(espX1) Type III secretion system effector EspX1 [TTSS secreted effectors (VF1110) - Effector delivery system (VFC0086)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	65582	66318	+	espY1	1-738/738	========/======	1/1	99.86	94.58	vfdb	WP_013009101	(espY1) Type III secretion system effector EspY1 [TTSS secreted effectors (VF1111) - Effector delivery system (VFC0086)] [Escherichia coli O55:H7 str. CB9615]	
data/genomes/EAEC_042.fasta	NC_017626.1	82758	83327	+	espY2	1-570/570	===============	0/0	100.00	98.07	vfdb	WP_000868321	(espY2) Type III secretion system effector EspY2 [TTSS secreted effectors (VF1110) - Effector delivery system (VFC0086)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	353433	354141	-	yagV/ecpE	1-709/711	===============	0/0	99.72	97.32	vfdb	WP_001301550	(yagV/ecpE) E. coli common pilus chaperone EcpE [ECP (VF0404) - Adherence (VFC0001)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	354110	355753	-	yagW/ecpD	1-1644/1644	===============	0/0	100.00	98.78	vfdb	WP_001265657	(yagW/ecpD) polymerized tip adhesin of ECP fibers [ECP (VF0404) - Adherence (VFC0001)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	355743	358268	-	yagX/ecpC	1-2526/2526	===============	0/0	100.00	98.65	vfdb	WP_001131063	(yagX/ecpC) E. coli common pilus usher EcpC [ECP (VF0404) - Adherence (VFC0001)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	358294	358962	-	yagY/ecpB	1-669/669	===============	0/0	100.00	97.31	vfdb	WP_000716386	(yagY/ecpB) E. coli common pilus chaperone EcpB [ECP (VF0404) - Adherence (VFC0001)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	359019	359606	-	yagZ/ecpA	1-588/588	===============	0/0	100.00	98.81	vfdb	WP_000730972	(yagZ/ecpA) E. coli common pilus structural subunit EcpA [ECP (VF0404) - Adherence (VFC0001)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	359681	360223	-	ykgK/ecpR	1-543/543	===============	0/0	100.00	98.53	vfdb	WP_000389022	(ykgK/ecpR) regulator protein EcpR [ECP (VF0404) - Adherence (VFC0001)] [Escherichia coli O157:H7 str. EDL933]	
data/genomes/EAEC_042.fasta	NC_017626.1	369622	373863	+	fdeC	1-4245/4251	========/======	3/5	99.76	92.96	vfdb	WP_000092542	(fdeC) adhesin FdeC [FdeC (VF0506) - Adherence (VFC0001)] [Escherichia coli O45:K1:H7 str. S88]	
data/genomes/EAEC_042.fasta	NC_017626.1	499549	501105	-	espY3	1-1572/1572	========/======	2/15	99.05	94.53	vfdb	WP_000978351	(espY3) Type III secretion system effector EspY3 [TTSS secreted effectors (VF1111) - Effector delivery system (VFC0086)] [Escherichia coli O55:H7 str. CB9615]	
data/genomes/EAEC_042.fasta	NC_017626.1	673843	675225	+	ibeB	1-1383/1383	===============	0/0	100.00	97.69	vfdb	WP_000074207	(ibeB) Cu(+)/Ag(+) efflux RND transporter outer membrane channel CusC [Ibes (VF0237) - Invasion (VFC0083)] [Escherichia coli O45:K1:H7 str. S88]	
data/genomes/EAEC_042.fasta	NC_017626.1	686732	687352	-	entD	1-621/621	===============	0/0	100.00	91.30	vfdb	WP_001375021	(entD) phosphopantetheinyl transferase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
data/genomes/EAEC_042.fasta	NC_017626.1	687527	689767	-	fepA	1-2241/2241	===============	0/0	100.00	96.79	vfdb	WP_001034892	(fepA) ferrienterobactin outer membrane transporter [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
data/genomes/EAEC_042.fasta	NC_017626.1	690010	691212	+	fes	1-1203/1203	===============	0/0	100.00	96.76	vfdb	WP_000125846	(fes) enterobactin/ferric enterobactin esterase [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
data/genomes/EAEC_042.fasta	NC_017626.1	691430	695283	+	entF	1-3854/3882	========/======	2/2	99.25	95.23	vfdb	WP_000077767	(entF) enterobactin synthase multienzyme complex component ATP-dependent [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
data/genomes/EAEC_042.fasta	NC_017626.1	695526	696659	+	fepE	1-1134/1134	===============	0/0	100.00	94.27	vfdb	WP_000096764	(fepE) LPS O-antigen length regulator [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
data/genomes/EAEC_042.fasta	NC_017626.1	696656	697471	-	fepC	1-816/816	===============	0/0	100.00	97.18	vfdb	WP_000140634	(fepC) ferrienterobactin ABC transporter ATPase [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
data/genomes/EAEC_042.fasta	NC_017626.1	697468	698460	-	fepG	1-993/993	===============	0/0	100.00	95.27	vfdb	WP_000640938	(fepG) iron-enterobactin ABC transporter permease [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
data/genomes/EAEC_042.fasta	NC_017626.1	698457	699461	-	fepD	1-1005/1005	===============	0/0	100.00	96.32	vfdb	WP_001443194	(fepD) ferrienterobactin ABC transporter permease [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
data/genomes/EAEC_042.fasta	NC_017626.1	699572	700822	+	entS	1-1251/1251	===============	0/0	100.00	96.48	vfdb	WP_001041793	(entS) enterobactin exporter iron-regulated [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
data/genomes/EAEC_042.fasta	NC_017626.1	700826	701782	-	fepB	1-957/957	===============	0/0	100.00	97.81	vfdb	WP_001234311	(fepB) ferrienterobactin ABC transporter periplasmic binding protein [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
data/genomes/EAEC_042.fasta	NC_017626.1	701971	703146	+	entC	1-1176/1176	===============	0/0	100.00	97.62	vfdb	WP_001336900	(entC) isochorismate synthase 1 [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
data/genomes/EAEC_042.fasta	NC_017626.1	703156	704766	+	entE	1-1611/1611	===============	0/0	100.00	97.33	vfdb	WP_000026784	(entE) 23-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
data/genomes/EAEC_042.fasta	NC_017626.1	704780	705637	+	entB	1-858/858	===============	0/0	100.00	98.48	vfdb	WP_001007140	(entB) isochorismatase [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
data/genomes/EAEC_042.fasta	NC_017626.1	705637	706383	+	entA	1-747/747	===============	0/0	100.00	95.18	vfdb	WP_000348393	(entA) 23-dihydro-23-dihydroxybenzoate dehydrogenase EntA [Enterobactin (VF0228) - Nutritional/Metabolic factor (VFC0272)] [Escherichia coli CFT073]	
data/genomes/EAEC_042.fasta	NC_017626.1	1126482	1127534	-	ompA	1-1041/1041	========/======	1/12	100.00	95.82	vfdb	AAF37887	(ompA) outer membrane protein A [OmpA (VF0236) - Invasion (VFC0083)] [Escherichia coli O18:K1:H7 str. RS218]	
data/genomes/EAEC_042.fasta	NC_017626.1	1191052	1191885	-	cgsG	1-834/834	===============	0/0	100.00	97.84	vfdb	WP_001189322	(cgsG) curli production assembly/transport protein CsgG [Curli fibers (VF1138) - Adherence (VFC0001)] [Escherichia coli O25b:H4-ST131]	
data/genomes/EAEC_042.fasta	NC_017626.1	1191912	1192328	-	cgsF	1-417/417	===============	0/0	100.00	97.84	vfdb	WP_001264082	(cgsF) curli production assembly/transport protein CsgF [Curli fibers (VF1138) - Adherence (VFC0001)] [Escherichia coli O25b:H4-ST131]	
data/genomes/EAEC_042.fasta	NC_017626.1	1192353	1192742	-	cgsE	1-390/390	===============	0/0	100.00	98.46	vfdb	WP_000833288	(cgsE) curli production assembly/transport protein CsgE [Curli fibers (VF1138) - Adherence (VFC0001)] [Escherichia coli O25b:H4-ST131]	
data/genomes/EAEC_042.fasta	NC_017626.1	1192747	1193397	-	cgsD	1-651/651	===============	0/0	100.00	99.54	vfdb	WP_000481500	(cgsD) transcriptional regulator CsgD [Curli fibers (VF1138) - Adherence (VFC0001)] [Escherichia coli O25b:H4-ST131]	
data/genomes/EAEC_042.fasta	NC_017626.1	1194152	1194607	+	csgB	1-456/456	===============	0/0	100.00	99.34	vfdb	WP_000791650	(csgB) curlin minor subunit CsgB [Curli fibers (VF1138) - Adherence (VFC0001)] [Escherichia coli O25b:H4-ST131]	
data/genomes/EAEC_042.fasta	NC_017626.1	1194648	1195103	+	csgA	1-459/459	========/======	1/3	99.35	97.17	vfdb	WP_000771429	(csgA) curlin major subunit CsgA [Curli fibers (VF1138) - Adherence (VFC0001)] [Escherichia coli O25b:H4-ST131]	
data/genomes/EAEC_042.fasta	NC_017626.1	1195162	1195494	+	csgC	1-333/333	===============	0/0	100.00	99.70	vfdb	WP_000992818	(csgC) curli assembly protein CsgC [Curli fibers (VF1138) - Adherence (VFC0001)] [Escherichia coli O25b:H4-ST131]	
data/genomes/EAEC_042.fasta	NC_017626.1	1671092	1672342	-	espR1	1-1251/1260	===============	0/0	99.29	94.48	vfdb	WP_000671691	(espR1) Type III secretion system effector espR1 [TTSS secreted effectors (VF1111) - Effector delivery system (VFC0086)] [Escherichia coli O55:H7 str. CB9615]	
data/genomes/EAEC_042.fasta	NC_017626.1	1972281	1974179	+	espL1	1-1898/1898	========/======	1/1	100.00	96.47	vfdb		(espL1) Type III secretion system effector espL1 [TTSS secreted effectors (VF1111) - Effector delivery system (VFC0086)] [Escherichia coli O55:H7 str. CB9615]	
